Shops,ATMs,Downtown,Weekday,Center,High,Withdraw
10.02,11,1,0,0,0,69.57647319
9.83,9,1,1,0,0,68.13790747
1.07,4,0,1,0,0,14.32598208
1.04,5,0,1,0,0,13.3274043
10.26,11,1,1,0,0,70.60684443
10.08,9,1,1,0,0,69.96212367
9.89,8,1,1,1,0,72.66553056
1,4,0,1,0,0,14.20005705
9.66,8,1,1,0,0,67.39332875
10,10,1,1,0,0,69.58730963
9.67,9,1,0,0,1,69.20420668
10.37,14,1,0,0,1,71.90447105
1.1,1,0,0,0,0,19.50399733
10.13,8,1,1,0,0,72.22514473
10.21,13,1,0,0,0,71.0950949
10.14,11,1,0,0,0,71.35731607
9.98,10,1,0,0,0,70.72537074
0.91,3,0,1,0,0,15.80152716
10.15,8,1,1,0,0,73.00467609
9.97,9,1,1,0,1,70.70121261
0.95,2,0,1,0,1,17.51446342
10.11,8,1,1,0,0,71.90922657
10.05,13,1,1,0,0,66.35544915
1.03,2,0,1,0,0,16.2889547
10.08,11,1,0,0,0,70.24771168
9.86,12,1,0,0,0,67.53832397
9.96,12,1,1,0,0,67.25959373
0.95,3,0,1,0,1,16.16362126
9.69,14,1,0,0,0,64.80655208
10.04,10,1,1,0,0,69.79093259
9.75,8,1,0,0,0,70.0289425
10.2,11,1,1,0,1,71.22859695
1.01,3,0,1,0,0,15.48953956
10.05,9,1,1,0,0,70.06864699
10.01,9,1,1,0,0,69.29605583
1,1,0,0,0,0,19.58400172
1.05,4,0,1,0,0,14.77168925
9.92,9,1,0,0,0,71.84085376
10.22,10,1,1,0,1,72.36499711
1.07,4,0,1,0,1,16.17246602
0.99,3,0,1,0,0,15.14082082
9.92,11,1,0,0,1,70.30960958
10.19,13,1,1,1,0,71.2207455
0.98,3,0,1,0,0,15.47080051
9.96,9,1,0,1,1,95.8391241
10.04,14,1,1,0,0,64.71127509
10.19,12,1,0,0,0,70.84264679
0.97,3,0,1,0,1,16.99341948
9.86,14,1,1,0,1,64.42096622
9.87,9,1,1,0,0,67.77743902
9.95,13,1,1,0,0,66.1855893
9.99,11,1,1,0,1,68.7942685
9.75,11,1,1,0,0,65.28526673
10.08,9,1,1,0,1,71.55154622
10.11,11,1,1,0,0,70.09529585
9.95,11,1,0,0,1,70.5433004
10.15,15,1,0,1,1,92.02491757
9.98,12,1,0,0,0,68.61451359
10.15,9,1,1,0,1,72.45341023
9.84,6,1,1,0,0,71.09748047
9.81,12,1,1,0,0,65.40420231
10.12,12,1,1,0,0,68.58726716
10.03,12,1,1,0,0,66.96658313
10.09,11,1,1,0,0,68.27372853
9.82,7,1,1,0,0,70.11359527
0.99,3,0,1,0,1,16.50249072
1.02,4,0,1,0,0,14.27652025
9.9,9,1,0,0,0,71.17325889
0.92,3,0,1,0,0,15.11681575
9.99,12,1,1,0,0,67.72400175
9.95,14,1,1,0,1,65.99067926
10.18,11,1,1,0,0,69.81156112
10.26,14,1,0,0,1,70.19906468
0.99,5,0,0,0,0,15.50362041
10.28,13,1,1,0,0,68.37597745
10.1,12,1,0,0,0,71.2816469
0.96,3,0,0,0,0,17.98227597
9.99,10,1,1,0,0,68.23644287
9.86,12,1,1,0,1,65.54385092
9.98,12,1,1,0,0,65.60388931
1.01,3,0,1,1,0,18.63987137
0.97,2,0,1,0,0,15.69809969
9.88,10,1,1,0,0,66.92381264
0.94,1,0,1,0,1,18.61216746
9.85,5,1,1,1,0,74.74185433
10.37,9,1,1,0,1,76.22334523
1.05,4,0,0,0,0,17.42348617
10.22,11,1,1,0,0,70.12902941
9.7,15,1,1,1,0,64.29839948
10.14,10,1,1,0,0,70.43493288
9.94,12,1,1,0,1,66.93443392
9.99,9,1,0,0,1,72.93982842
9.83,9,1,1,0,0,67.61705737
1.01,2,0,1,0,0,16.13415785
9.9,9,1,1,1,0,70.96676354
1.04,3,0,1,0,0,15.47107098
9.75,10,1,0,0,1,69.84058491
10.28,8,1,0,1,1,100.8772015
1.05,4,0,1,1,1,18.09448456
10,12,1,0,0,1,69.31116487
0.96,4,0,0,1,0,22.44832371
9.89,11,1,0,0,0,68.89600545
9.73,7,1,1,0,1,70.46795528
10.18,8,1,0,0,0,74.31302355
9.79,10,1,1,0,1,67.53021307
9.83,7,1,1,0,0,70.15695388
9.92,11,1,1,1,0,70.27363122
9.74,10,1,1,0,1,66.23393647
9.65,6,1,1,0,0,69.39452386
10.01,10,1,1,0,0,68.57859218
9.7,9,1,1,0,0,67.12414647
1.02,2,0,1,0,0,16.87587597
10.13,8,1,1,0,1,73.92758443
9.95,10,1,0,0,0,70.39156616
10.15,9,1,1,1,0,75.12519496
10.12,14,1,1,0,1,67.17100669
10,9,1,1,0,0,69.856707
9.62,12,1,1,0,0,63.24350121
10.02,13,1,1,0,0,66.087157
10.15,12,1,0,0,0,70.19525386
0.99,3,0,1,0,0,14.81061517
1.06,3,0,1,0,1,16.0176616
10.03,12,1,0,0,1,69.73369387
0.96,4,0,1,0,1,15.65891413
9.88,10,1,1,0,0,67.91130808
9.71,10,1,1,1,0,68.586548
1.01,3,0,1,0,1,17.19049134
1.07,4,0,1,1,1,18.37830135
9.78,11,1,1,1,0,68.49334784
0.97,1,0,1,0,0,16.6807709
9.82,9,1,1,0,0,67.27560378
9.86,11,1,1,0,1,67.53537379
0.91,4,0,1,0,1,15.65889586
10.6,9,1,1,0,1,76.52870085
9.69,10,1,1,0,1,67.32221165
9.86,13,1,0,0,0,66.96754355
0.98,4,0,1,0,0,14.44079069
0.98,2,0,0,0,0,18.46574796
0.96,4,0,0,1,1,22.40401694
10.18,7,1,0,0,0,77.0202932
10.08,8,1,1,1,0,75.48422077
10.29,9,1,0,0,0,75.3335033
10.2,11,1,1,0,1,71.07448175
9.7,11,1,1,0,0,65.59964578
9.7,7,1,1,0,0,68.5312914
10.33,14,1,0,0,0,71.51419341
9.88,8,1,1,0,1,71.77560051
9.66,9,1,0,1,0,90.26958602
10.08,8,1,0,0,0,74.23289826
0.95,2,0,1,0,1,16.96052134
9.66,14,1,1,0,1,62.05010336
10.12,12,1,1,0,0,68.25238298
10.11,11,1,1,0,1,70.29270731
1.02,3,0,0,0,0,17.85241817
9.76,15,1,0,0,1,64.66525155
9.93,9,1,0,0,1,72.48547944
10.32,10,1,1,0,0,72.77600445
9.97,10,1,1,0,0,67.92283362
0.99,3,0,0,1,0,22.28482539
10.01,7,1,0,0,0,74.25609832
9.96,8,1,1,0,1,71.63315772
10.08,9,1,1,0,0,70.48617025
10.15,7,1,1,0,0,74.6865383
1.06,2,0,1,1,1,21.62962112
9.86,10,1,1,0,0,66.90456346
10,9,1,1,0,0,69.82283246
0.96,3,0,1,0,0,16.29489274
9.82,10,1,1,1,0,70.99314454
9.98,12,1,1,0,1,67.55135665
10.12,9,1,1,0,1,72.49627449
10.13,9,1,1,0,0,71.72889064
9.89,9,1,1,0,1,69.99127422
10.08,7,1,1,0,0,73.18586994
9.95,11,1,1,0,0,67.66477933
1.04,2,0,1,0,1,17.46825731
9.59,8,1,1,0,0,66.51254166
9.86,8,1,1,0,0,69.60590653
9.88,9,1,1,0,0,68.31411293
1.05,2,0,1,0,0,16.76711658
9.98,13,1,1,0,0,65.16175637
9.99,10,1,1,0,0,70.02160536
0.89,2,0,1,0,1,16.97847362
1.02,4,0,1,0,1,16.1874061
0.98,4,0,1,0,0,13.79182254
9.84,11,1,0,0,0,68.29359696
9.96,10,1,1,0,1,69.11564431
10.05,12,1,1,0,1,68.94377738
10.28,8,1,1,0,0,73.95711631
10.23,10,1,1,0,0,71.2109306
10.13,10,1,1,0,0,69.83226507
1.01,4,0,0,0,0,16.59061325
10.03,12,1,1,0,0,67.07094782
0.99,3,0,1,1,0,18.64267369
9.93,9,1,1,0,1,69.83382948
10.15,11,1,0,0,1,72.84642698
0.96,3,0,0,0,1,18.62335623
10.03,14,1,1,1,1,68.85056923
1.03,2,0,0,0,0,18.77205921
1.05,3,0,1,0,1,16.56398455
10.32,8,1,0,1,1,101.576382
10.22,10,1,1,0,0,72.38819524
9.85,10,1,1,0,1,69.09898168
9.83,9,1,1,0,0,67.9574196
9.36,10,1,1,0,0,61.04046623
0.98,2,0,1,0,0,16.2466269
10.15,8,1,1,0,1,73.43891441
0.96,2,0,0,0,0,18.84043379
1.03,4,0,1,1,0,17.60747504
9.81,7,1,1,0,0,70.1210621
0.95,3,0,0,0,0,16.24917662
1.03,2,0,0,0,0,18.42027952
1.02,4,0,1,0,0,14.46547764
10.42,11,1,1,0,1,73.5094986
10.02,11,1,1,0,1,68.94645499
0.99,2,0,1,0,1,17.74072784
1.01,2,0,1,0,0,16.7289058
10.37,14,1,1,0,0,69.45477323
9.77,11,1,0,0,0,67.04383651
9.75,9,1,1,0,1,68.62849948
10.1,8,1,1,1,0,75.38287025
10.41,10,1,1,0,1,74.48894383
10.26,9,1,1,0,0,72.36350098
10,10,1,1,0,1,70.02883449
10.12,9,1,1,0,0,71.76384874
10.46,10,1,1,0,1,74.85641646
10.36,12,1,1,0,0,70.33287533
1.08,3,0,1,0,0,15.25716582
1.01,3,0,0,0,1,18.27660495
1.06,5,0,0,0,0,15.7569368
10.03,12,1,1,0,1,68.64357601
0.94,4,0,1,0,0,14.80718095
9.94,10,1,1,0,0,68.34328012
0.96,3,0,1,0,0,14.78620414
9.95,9,1,1,0,0,69.21987555
0.98,2,0,1,0,0,17.58955764
9.77,12,1,1,0,0,64.46504978
10.18,9,1,1,0,0,71.88990577
0.97,4,0,0,0,0,16.39299183
1,3,0,1,1,1,19.21763072
10.03,8,1,1,0,0,70.31059443
9.98,12,1,1,0,0,66.13255942
1.02,2,0,0,0,0,18.45595375
1.06,2,0,1,0,0,15.85965708
9.93,7,1,1,0,0,70.98072334
9.75,11,1,0,0,0,67.16670097
0.98,2,0,1,0,0,16.40805274
9.89,9,1,1,1,0,71.13934485
1.09,2,0,1,0,0,16.44941699
10.3,10,1,1,0,1,72.71216084
9.92,8,1,0,0,0,71.66733602
0.94,2,0,0,0,0,18.00943359
0.96,4,0,1,0,1,15.62745798
9.84,11,1,0,0,1,68.92944437
9.8,12,1,1,0,0,64.39355631
9.94,6,1,0,0,1,76.17107168
9.81,11,1,1,1,0,68.37459283
10.01,11,1,1,0,0,67.9570975
9.72,7,1,1,0,0,68.76855256
10.29,7,1,0,0,1,79.01187879
1.01,5,0,1,0,0,13.22250392
0.9,4,0,1,0,1,15.82501792
9.86,9,1,0,0,1,71.76928891
10.01,11,1,0,0,0,69.63458453
9.77,14,1,1,0,0,62.66515876
10.08,10,1,1,0,0,70.58793797
0.95,4,0,1,0,0,14.52179365
0.98,3,0,1,0,0,14.82918471
0.99,3,0,0,0,0,17.92904758
9.87,10,1,1,0,1,69.53325758
10.06,11,1,1,0,0,68.93174623
9.97,13,1,0,0,1,67.77838119
1.11,2,0,0,0,0,18.48149828
9.98,7,1,0,0,1,74.26997922
10.25,10,1,1,0,0,71.57215164
10.38,3,1,1,0,1,80.97856461
1.04,3,0,1,0,0,15.44472772
1.01,3,0,1,0,0,14.62531718
9.84,6,1,1,0,1,71.2258459
0.98,2,0,1,0,0,17.2488375
9.75,10,1,1,0,0,66.67507467
9.95,10,1,1,1,0,71.73823188
1.08,2,0,0,0,0,19.28898759
9.9,12,1,1,0,1,66.50908293
10.03,10,1,1,0,0,69.49037096
9.98,12,1,1,0,1,67.80999305
10.05,9,1,1,0,0,70.35739484
10.32,11,1,0,0,0,73.43012934
10,8,1,1,0,1,72.5459384
1.01,2,0,1,0,0,16.56651919
9.98,11,1,1,0,1,69.05820295
0.95,3,0,0,0,1,19.33243852
9.96,10,1,1,0,0,67.99785573
9.84,10,1,0,1,0,92.59001477
9.91,9,1,1,0,0,69.14143672
9.9,7,1,1,1,0,73.98900852
10.09,10,1,0,0,1,72.23531885
10.15,13,1,1,0,1,68.79841814
9.96,10,1,1,0,1,69.45084012
10.4,8,1,1,0,0,75.5794181
10.08,13,1,1,0,1,68.09175624
9.95,9,1,1,1,1,73.39510013
1,2,0,1,0,0,16.19535332
0.93,3,0,0,0,0,17.55985435
1.06,3,0,1,1,0,18.48908981
0.91,0,0,1,0,1,18.38114556
10.12,12,1,1,0,0,68.61229055
10.01,9,1,1,0,0,70.84726195
10.04,8,1,1,0,0,71.52405343
10.15,12,1,1,0,0,68.1507517
10.2,9,1,1,0,0,72.80388362
0.95,4,0,1,0,0,14.39577208
9.88,10,1,1,0,0,67.32485005
9.7,13,1,0,0,1,65.06186357
1,4,0,0,0,0,15.80394891
9.78,6,1,1,0,0,69.43391109
9.6,10,1,1,0,1,66.1332951
9.92,10,1,1,0,0,68.01312745
9.63,14,1,0,0,1,63.7918871
1.03,4,0,1,0,1,15.05655616
10.09,11,1,0,0,1,71.984638
0.99,3,0,1,0,0,15.33936861
0.96,2,0,0,0,0,17.94300998
0.96,3,0,1,0,1,15.50597861
9.86,11,1,1,0,0,66.48923799
10.19,14,1,1,0,0,66.67914758
0.93,2,0,0,0,0,18.57627941
10.09,11,1,1,0,0,69.28536094
0.95,3,0,1,1,1,20.1589894
9.67,9,1,1,1,0,69.55134209
9.81,12,1,1,0,0,64.67141836
0.99,2,0,0,0,0,18.47744708
10.2,9,1,1,0,0,71.82355439
10.02,10,1,1,0,1,70.86682137
10.31,11,1,1,1,1,74.5095078
9.92,9,1,1,0,0,68.89444303
10.26,10,1,1,0,1,72.32725097
9.97,5,1,1,0,0,73.66632262
9.85,7,1,1,0,1,70.63520636
10.2,11,1,1,0,1,71.72957078
0.9,4,0,1,0,0,14.48734438
10.1,11,1,0,0,1,72.40745772
9.75,9,1,1,0,1,68.45752329
10.12,8,1,1,0,1,72.78228065
1.01,3,0,0,0,0,17.58386524
0.95,2,0,0,0,0,18.39389856
10.06,13,1,1,0,0,66.38743215
1.05,3,0,1,0,0,15.39558623
10.21,10,1,1,0,1,72.03316693
10.33,11,1,0,0,1,74.93404466
9.88,9,1,1,0,0,68.63163507
0.92,3,0,1,0,0,14.72515701
10.04,7,1,1,0,0,72.20019263
10.29,11,1,0,0,0,73.08632974
0.98,3,0,1,0,0,16.12939753
9.95,10,1,1,0,0,68.94646842
1.11,3,0,1,0,0,14.51276782
9.93,10,1,1,0,0,68.29877349
10.02,8,1,1,0,0,71.16963692
9.83,12,1,0,0,1,67.56117849
10.11,11,1,0,0,0,71.05193597
10.07,5,1,1,0,1,75.70662807
10.13,7,1,0,0,0,75.37010433
10.54,7,1,1,0,0,78.33981646
9.5,8,1,1,1,0,68.47213618
0.96,3,0,1,0,1,17.08277245
9.85,7,1,0,1,0,95.35880696
0.91,2,0,1,0,1,16.65163849
9.94,10,1,0,0,0,70.30881553
10.38,14,1,1,0,1,70.62797035
9.95,12,1,1,0,1,67.55864161
0.95,3,0,1,0,0,15.16841389
1.11,3,0,0,0,0,17.91028423
9.9,11,1,1,0,1,68.36248607
9.84,9,1,1,0,0,66.96055391
9.67,10,1,1,1,0,68.67193715
9.88,10,1,1,1,0,70.1973197
10.14,8,1,1,0,0,73.02901835
0.96,3,0,1,1,0,18.23114538
10.28,9,1,0,0,0,75.02053122
0.92,2,0,0,0,0,17.88069135
9.83,10,1,1,0,0,67.07733607
0.96,2,0,0,0,0,19.56618057
9.86,8,1,0,0,1,71.54207391
9.75,12,1,1,1,0,67.43371824
10.05,8,1,0,0,0,73.69034346
9.94,12,1,1,0,1,67.07191941
9.99,8,1,1,0,0,70.57096865
10.4,14,1,1,0,0,68.44769642
9.85,8,1,0,0,0,71.47659627
10.18,8,1,1,0,1,74.59648621
0.99,2,0,0,1,1,24.42231836
9.59,13,1,1,0,0,60.80937026
0.99,4,0,1,0,0,14.88876554
0.96,2,0,1,0,0,16.61579081
0.98,6,0,0,0,0,14.29114911
1.03,3,0,1,0,0,16.1511116
10.34,8,1,0,1,0,100.4390617
9.99,14,1,1,0,0,65.04824814
9.63,10,1,1,0,0,65.12958475
0.97,4,0,0,0,0,16.87506284
9.91,8,1,0,1,1,96.24802491
10.23,7,1,1,0,1,75.68691548
10.18,8,1,1,0,0,72.60216027
9.63,13,1,0,0,0,63.99354615
9.6,7,1,1,0,1,69.10329907
9.68,9,1,0,0,0,68.12053117
1.09,5,0,0,0,0,14.72989274
10,10,1,1,0,1,70.29580604
1.09,3,0,1,0,1,17.63870987
9.99,10,1,1,0,0,69.4556168
0.98,4,0,1,1,0,17.97833536
9.95,12,1,1,0,0,67.09726767
10,8,1,1,0,1,71.79323855
10.39,11,1,0,0,1,74.68275323
10.54,9,1,1,0,0,76.55312807
9.58,11,1,1,1,0,67.43472084
10.06,10,1,0,0,0,71.28155104
9.98,10,1,1,0,1,69.94298419
9.75,10,1,0,0,0,68.82107876
9.79,10,1,1,0,0,66.62339777
10.15,11,1,1,0,1,70.44799717
10.48,6,1,0,0,1,81.06027053
10.3,12,1,0,0,0,72.4438809
10.05,11,1,1,0,1,68.72570134
10.01,13,1,1,0,1,67.55344197
1.04,3,0,1,0,1,17.09983005
10.02,11,1,1,0,1,68.99133422
10.05,10,1,0,0,1,72.07100643
9.96,11,1,1,0,0,68.15043927
0.99,3,0,1,0,0,16.15477089
9.71,10,1,0,0,1,68.96482824
0.98,4,0,1,0,0,14.32777698
10.35,8,1,0,0,0,77.23637333
10.09,13,1,0,0,0,69.95105625
10.08,7,1,0,0,1,75.67496925
9.91,8,1,1,0,0,70.77402661
9.76,12,1,0,0,1,67.18595683
10.21,12,1,1,0,0,68.93639069
10.06,11,1,0,0,0,70.38421509
9.91,9,1,1,0,1,69.526052
9.65,8,1,1,1,0,69.47523967
9.82,8,1,1,0,1,70.20269186
0.95,4,0,1,0,0,13.89862998
9.82,9,1,1,1,0,71.48892342
10.47,11,1,1,0,0,73.10788604
0.95,4,0,1,0,0,13.87275255
9.53,10,1,1,0,1,65.09807185
0.97,5,0,1,0,0,13.07167513
9.81,8,1,1,1,0,71.12764194
1.02,2,0,1,0,1,17.32125605
9.86,9,1,1,0,0,68.13680948
9.89,11,1,1,0,0,66.7042962
1.03,2,0,1,0,0,16.62129411
10.3,9,1,1,0,0,73.4362225
0.95,4,0,0,0,0,16.86653884
9.74,9,1,1,0,1,67.88134707
10.54,8,1,1,0,0,76.23741971
0.98,3,0,0,0,0,17.09635058
9.93,12,1,0,0,0,69.26382112
9.65,9,1,1,0,0,66.40837707
9.67,10,1,1,0,0,65.88222999
9.94,11,1,1,0,0,67.24164096
9.93,8,1,0,0,1,74.45046761
9.56,11,1,1,0,1,63.86355172
10.05,14,1,0,0,1,68.66176635
9.86,9,1,0,0,1,71.91002847
0.98,2,0,0,0,0,18.06835516
1,4,0,1,0,0,14.48082558
